doc,query_id,label
doc_12,1,1
doc_9,1,1
doc_18,1,1
doc_45,1,1
doc_501,1,1
doc_52,1,1
doc_82,1,1
doc_100,1,1
doc_122,1,1
doc_165,1,1
doc_158,2,1
doc_175,2,1
doc_268,2,1
doc_303,2,1
doc_321,2,1
doc_358,2,1
doc_373,2,1
doc_402,2,1
doc_453,2,1
doc_504,2,1
doc_30,3,1
doc_65,3,1
doc_66,3,1
doc_112,3,1
doc_148,3,1
doc_150,3,1
doc_198,3,1
doc_370,3,1
doc_30,3,1
doc_65,3,1
doc_125,1,0
doc_306,1,0
doc_441,1,0
doc_494,1,0
doc_525,1,0
doc_1002,1,0
doc_1076,1,0
doc_1096,1,0
doc_1195,1,0
doc_1233,1,0
doc_125,2,0
doc_306,2,0
doc_441,2,0
doc_494,2,0
doc_525,2,0
doc_1002,2,0
doc_1076,2,0
doc_1096,2,0
doc_1195,2,0
doc_1233,2,0
doc_125,3,0
doc_306,3,0
doc_441,3,0
doc_494,3,0
doc_525,3,0
doc_1002,3,0
doc_1076,3,0
doc_1096,3,0
doc_1195,3,0
doc_1233,3,0
