doc,query_id,label
doc_3377,1,1
doc_117,2,1
doc_118,2,1
doc_119,2,1
doc_121,2,1
doc_123,2,1
doc_334,2,1
doc_3224,2,1
doc_808,3,1
doc_3029,3,1
doc_3397,3,1
doc_3850,3,1
doc_3875,3,1
doc_147,4,1
doc_220,4,1
doc_238,4,1
doc_425,4,1
doc_511,4,1
doc_802,4,1
doc_889,4,1
doc_147,4,1
doc_925,4,1
doc_1142,4,1
doc_1527,4,1
doc_1682,4,1
doc_1958,4,1
doc_2218,4,1
doc_2497,4,1
doc_2503,4,1
doc_2505,4,1
doc_2812,4,1
doc_2845,4,1
doc_2940,4,1
doc_3036,4,1
doc_3162,4,1
doc_3419,4,1
doc_3469,4,1
doc_3531,4,1
doc_3622,4,1
doc_3661,4,1
doc_3668,4,1
doc_3745,4,1
doc_3761,4,1
doc_3945,4,1
doc_481,5,1
doc_1973,5,1
doc_2692,5,1
